lat;lon;X;Y;B1;B2;B3;B4;B5;B6;B7;B8;B8A;B9;B11;B12
6.047002982;-73.48212747;2416.0;1698.0;0.025500000000000002;0.0181;0.0531;0.029500000000000002;0.0898;0.2606;0.3158;0.3331;0.35400000000000004;0.33030000000000004;0.1889;0.08750000000000001
6.047002982;-73.47582747;2486.0;1698.0;0.0081;0.017400000000000002;0.046700000000000005;0.0363;0.0835;0.22160000000000002;0.2791;0.2902;0.30810000000000004;0.2898;0.17650000000000002;0.0891
6.053302982;-73.57662747;1370.0;1631.0;0.0206;0.033;0.06720000000000001;0.0439;0.09240000000000001;0.22160000000000002;0.2627;0.2757;0.29200000000000004;0.27590000000000003;0.15280000000000002;0.0694
6.053302982;-73.57032747;1440.0;1631.0;0.019;0.031100000000000003;0.0528;0.0454;0.0792;0.17700000000000002;0.2248;0.23720000000000002;0.25570000000000004;0.2624;0.188;0.10020000000000001
6.053302982;-73.56402747;1509.0;1631.0;0.0146;0.012700000000000001;0.0381;0.0264;0.0614;0.2071;0.2376;0.32230000000000003;0.2917;0.2975;0.13140000000000002;0.059000000000000004
6.053302982;-73.55142747;1649.0;1630.0;0.0213;0.0322;0.0679;0.051300000000000005;0.09820000000000001;0.2384;0.2803;0.305;0.31220000000000003;0.316;0.192;0.09340000000000001
6.053302982;-73.54512747;1719.0;1630.0;0.0228;0.0298;0.06380000000000001;0.0506;0.1003;0.2094;0.2451;0.25830000000000003;0.2728;0.28400000000000003;0.195;0.0994
6.053302982;-73.53882747;1788.0;1630.0;0.023200000000000002;0.027;0.0567;0.0437;0.0897;0.23450000000000001;0.28040000000000004;0.304;0.3205;0.2989;0.19010000000000002;0.0936
6.053302982;-73.53252747;1858.0;1630.0;0.020900000000000002;0.0281;0.0536;0.0432;0.081;0.18460000000000001;0.216;0.2369;0.2456;0.3058;0.1656;0.0804
6.053302982;-73.49472747;2277.0;1629.0;0.0137;0.0264;0.054700000000000006;0.0465;0.0848;0.23070000000000002;0.2775;0.2786;0.3158;0.3386;0.18280000000000002;0.0891
